No.;Time;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
1;0;;0;0,024032;0,024032;;-0,502087;0,490307;0,992394
2;0,024032;;0,024032;0,550151;0,526119;;0,490307;-0,495814;-0,986121
3;0,550151;;0,550151;0,585963;0,035812;;-0,495814;0,251924;0,747738
4;0,585963;;0,585963;1,117589;0,531626;;0,251924;-5,782843;-6,034767
5;1,117589;;1,117589;1,397291;0,279702;;-5,782843;6,026568;11,809411
6;1,397291;;1,397291;7,459836;6,062545;;6,026568;-4,230099;-10,256667
18;7,459836;;7,459836;7,495813;0,035977;;-4,230099;4,265948;8,496047
19;7,495813;;7,495813;11,761889;4,266076;;4,265948;-0,019931;-4,285879
88;11,761889;;11,761889;11,762017;0,000128;;-0,019931;0,019988;0,039919
89;11,762017;;11,762017;11,782076;0,020059;;0,019988;-0,012153;-0,032141
93;11,782076;;11,782076;11,782147;7,1E-05;;-0,012153;0,012056;0,024209
94;11,782147;;11,782147;11,794371;0,012224;;0,012056;-0,024623;-0,036679
98;11,794371;;11,794371;11,794539;0,000168;;-0,024623;-0,014179;0,010444
99;11,794539;;11,794539;11,81933;0,024791;;-0,014179;0,038816;0,052995
102;11,81933;;11,81933;11,8583;0,03897;;0,038816;-0,000668;-0,039484
103;11,8583;;11,8583;11,858454;0,000154;;-0,000668;0,000822;0,00149
104;11,858454;;11,858454;11,859276;0,000822;;0,000822;-0,067105;-0,067927
106;11,859276;;11,859276;11,859276;0;;-0,067105;0,067105;0,13421
107;11,859276;;11,859276;11,926381;0,067105;;0,067105;-0,000433;-0,067538
108;11,926381;;11,926381;11,926381;0;;-0,000433;0,000433;0,000866
109;11,926381;;11,926381;11,926814;0,000433;;0,000433;-6,9E-05;-0,000502
110;11,926814;;11,926814;11,926814;0;;-6,9E-05;-0,012408;-0,012339
111;11,926814;;11,926814;11,926883;6,9E-05;;-0,012408;0,012477;0,024885
112;11,926883;;11,926883;11,93936;0,012477;;0,012477;-0,000106;-0,012583
113;11,93936;;11,93936;11,93936;0;;-0,000106;-0,002667;-0,002561
114;11,93936;;11,93936;11,939466;0,000106;;-0,002667;0,002515;0,005182
115;11,939466;;11,939466;11,942239;0,002773;;0,002515;1,5E-05;-0,0025
116;11,942239;;11,942239;11,942497;0,000258;;1,5E-05;0,000142;0,000127
117;11,942497;;11,942497;11,94274;0,000243;;0,000142;-0,078207;-0,078349
118;11,94274;;11,94274;11,942841;0,000101;;-0,078207;0,078308;0,156515
119;11,942841;;11,942841;12,021149;0,078308;;0,078308;0;-0,078308
120;12,021149;;12,021149;12,021149;0;;0;0;0
121;12,021149;;12,021149;12,021149;0;;0;0;0
122;12,021149;;12,021149;12,021149;0;;0;-0,000125;-0,000125
123;12,021149;;12,021149;12,021149;0;;-0,000125;-0,000484;-0,000359
124;12,021149;;12,021149;12,021274;0,000125;;-0,000484;0,000563;0,001047
125;12,021274;;12,021274;12,021883;0,000609;;0,000563;-0,084044;-0,084607
126;12,021883;;12,021883;12,021929;4,6E-05;;-0,084044;-0,42871;-0,344666
127;12,021929;;12,021929;12,106019;0,08409;;-0,42871;0,415318;0,844028
128;12,106019;;12,106019;12,618819;0,5128;;0,415318;0,054377;-0,360941
130;12,618819;;12,618819;12,716301;0,097482;;0,054377;-0,986965;-1,041342
131;12,716301;;12,716301;12,759406;0,043105;;-0,986965;1,029626;2,016591
132;12,759406;;12,759406;13,789476;1,03007;;1,029626;-0,036011;-1,065637
133;13,789476;;13,789476;13,78992;0,000444;;-0,036011;0,036376;0,072387
134;13,78992;;13,78992;13,826375;0,036455;;0,036376;-2,010158;-2,046534
135;13,826375;;13,826375;13,826454;7,9E-05;;-2,010158;2,009954;4,020112
136;13,826454;;13,826454;15,836691;2,010237;;2,009954;-0,269772;-2,279726
137;15,836691;;15,836691;15,836974;0,000283;;-0,269772;0,269515;0,539287
138;15,836974;;15,836974;16,107029;0,270055;;0,269515;-0,02127;-0,290785
179;16,107029;;16,107029;16,107569;0,00054;;-0,02127;0,021632;0,042902
184;16,107569;;16,107569;16,129379;0,02181;;0,021632;-0,000825;-0,022457
192;16,129379;;16,129379;16,129557;0,000178;;-0,000825;0,001003;0,001828
195;16,129557;;16,129557;16,13056;0,001003;;0,001003;-0,048987;-0,04999
196;16,13056;;16,13056;16,13056;0;;-0,048987;0,022054;0,071041
197;16,13056;;16,13056;16,179547;0,048987;;0,022054;0,026933;0,004879
199;16,179547;;16,179547;16,20648;0,026933;;0,026933;-0,000586;-0,027519
203;16,20648;;16,20648;16,20648;0;;-0,000586;0,000586;0,001172
204;16,20648;;16,20648;16,207066;0,000586;;0,000586;-8E-05;-0,000666
205;16,207066;;16,207066;16,207066;0;;-8E-05;-0,000261;-0,000181
206;16,207066;;16,207066;16,207146;8E-05;;-0,000261;0,000341;0,000602
207;16,207146;;16,207146;16,207487;0,000341;;0,000341;0;-0,000341
209;16,207487;;16,207487;16,207487;0;;0;-5,7E-05;-5,7E-05
210;16,207487;;16,207487;16,207487;0;;-5,7E-05;-0,000671;-0,000614
211;16,207487;;16,207487;16,207544;5,7E-05;;-0,000671;0,000728;0,001399
212;16,207544;;16,207544;16,208272;0,000728;;0,000728;-3,4E-05;-0,000762
213;16,208272;;16,208272;16,208272;0;;-3,4E-05;-0,000196;-0,000162
214;16,208272;;16,208272;16,208306;3,4E-05;;-0,000196;-0,020955;-0,020759
216;16,208306;;16,208306;16,208536;0,00023;;-0,020955;0,021185;0,04214
217;16,208536;;16,208536;16,229721;0,021185;;0,021185;-0,04944;-0,070625
222;16,229721;;16,229721;16,229721;0;;-0,04944;0,019949;0,069389
223;16,229721;;16,229721;16,279161;0,04944;;0,019949;0,00499;-0,014959
225;16,279161;;16,279161;16,308652;0,029491;;0,00499;0,024365;0,019375
231;16,308652;;16,308652;16,333153;0,024501;;0,024365;-0,000696;-0,025061
232;16,333153;;16,333153;16,333289;0,000136;;-0,000696;0,000832;0,001528
233;16,333289;;16,333289;16,334121;0,000832;;0,000832;-0,053656;-0,054488
234;16,334121;;16,334121;16,334121;0;;-0,053656;0,033924;0,08758
235;16,334121;;16,334121;16,387777;0,053656;;0,033924;0,019332;-0,014592
237;16,387777;;16,387777;16,407509;0,019732;;0,019332;0,0004;-0,018932
238;16,407509;;16,407509;16,407909;0,0004;;0,0004;-9,3E-05;-0,000493
239;16,407909;;16,407909;16,407909;0;;-9,3E-05;-0,000338;-0,000245
240;16,407909;;16,407909;16,408002;9,3E-05;;-0,000338;0,000431;0,000769
241;16,408002;;16,408002;16,408433;0,000431;;0,000431;-3,3E-05;-0,000464
242;16,408433;;16,408433;16,408433;0;;-3,3E-05;-0,002407;-0,002374
243;16,408433;;16,408433;16,408466;3,3E-05;;-0,002407;0,002136;0,004543
244;16,408466;;16,408466;16,410906;0,00244;;0,002136;0,000127;-0,002009
245;16,410906;;16,410906;16,41121;0,000304;;0,000127;0,000135;8E-06
246;16,41121;;16,41121;16,411387;0,000177;;0,000135;-0,001303;-0,001438
247;16,411387;;16,411387;16,411429;4,2E-05;;-0,001303;-0,012306;-0,011003
248;16,411429;;16,411429;16,412774;0,001345;;-0,012306;0,013593;0,025899
249;16,412774;;16,412774;16,426425;0,013651;;0,013593;-0,007756;-0,021349
250;16,426425;;16,426425;16,426483;5,8E-05;;-0,007756;0,007513;0,015269
251;16,426483;;16,426483;16,434297;0,007814;;0,007513;-0,000473;-0,007986
252;16,434297;;16,434297;16,434598;0,000301;;-0,000473;0,000774;0,001247
253;16,434598;;16,434598;16,435372;0,000774;;0,000774;-8,2E-05;-0,000856
254;16,435372;;16,435372;16,435372;0;;-8,2E-05;-4,9E-05;3,3E-05
255;16,435372;;16,435372;16,435454;8,2E-05;;-4,9E-05;-0,000148;-9,9E-05
256;16,435454;;16,435454;16,435585;0,000131;;-0,000148;-0,069824;-0,069676
257;16,435585;;16,435585;16,435864;0,000279;;-0,069824;0,070103;0,139927
258;16,435864;;16,435864;16,505967;0,070103;;0,070103;-9,4E-05;-0,070197
259;16,505967;;16,505967;16,505967;0;;-9,4E-05;1,5E-05;0,000109
260;16,505967;;16,505967;16,506061;9,4E-05;;1,5E-05;-0,000413;-0,000428
261;16,506061;;16,506061;16,50614;7,9E-05;;-0,000413;-0,023406;-0,022993
262;16,50614;;16,50614;16,506632;0,000492;;-0,023406;-0,051899;-0,028493
263;16,506632;;16,506632;16,53053;0,023898;;-0,051899;0,075736;0,127635
264;16,53053;;16,53053;16,606327;0,075797;;0,075736;-0,369888;-0,445624
265;16,606327;;16,606327;16,606388;6,1E-05;;-0,369888;0,369532;0,73942
266;16,606388;;16,606388;16,976337;0,369949;;0,369532;-0,024472;-0,394004
268;16,976337;;16,976337;16,976754;0,000417;;-0,024472;0,024831;0,049303
269;16,976754;;16,976754;17,001643;0,024889;;0,024831;-0,019028;-0,043859
270;17,001643;;17,001643;17,001701;5,8E-05;;-0,019028;0,019017;0,038045
271;17,001701;;17,001701;17,020787;0,019086;;0,019017;-4,448469;-4,467486
272;17,020787;;17,020787;17,020856;6,9E-05;;-4,448469;4,448218;8,896687
273;17,020856;;17,020856;21,469394;4,448538;;4,448218;-0,029996;-4,478214
274;21,469394;;21,469394;21,469714;0,00032;;-0,029996;0,030229;0,060225
275;21,469714;;21,469714;21,50003;0,030316;;0,030229;-0,016017;-0,046246
276;21,50003;;21,50003;21,500117;8,7E-05;;-0,016017;0,015998;0,032015
277;21,500117;;21,500117;21,516221;0,016104;;0,015998;-1,86423;-1,880228
278;21,516221;;21,516221;21,516327;0,000106;;-1,86423;1,840126;3,704356
279;21,516327;;21,516327;23,380663;1,864336;;1,840126;-3,946922;-5,787048
284;23,380663;;23,380663;23,404873;0,02421;;-3,946922;3,860734;7,807656
285;23,404873;;23,404873;27,376005;3,971132;;3,860734;0,063134;-3,7976
298;27,376005;;27,376005;27,486403;0,110398;;0,063134;-0,310246;-0,37338
299;27,486403;;27,486403;27,533667;0,047264;;-0,310246;0,322391;0,632637
300;27,533667;;27,533667;27,891177;0,35751;;0,322391;-0,679849;-1,00224
301;27,891177;;27,891177;27,926296;0,035119;;-0,679849;0,680002;1,359851
305;27,926296;;27,926296;28,641264;0,714968;;0,680002;0,034815;-0,645187
2053;28,641264;;28,641264;28,67623;0,034966;;0,034815;-0,000603;-0,035418
2056;28,67623;;28,67623;28,676381;0,000151;;-0,000603;0,000754;0,001357
2057;28,676381;;28,676381;28,677135;0,000754;;0,000754;-0,035166;-0,03592
2058;28,677135;;28,677135;28,677135;0;;-0,035166;0,035166;0,070332
2059;28,677135;;28,677135;28,712301;0,035166;;0,035166;-0,000688;-0,035854
2060;28,712301;;28,712301;28,712301;0;;-0,000688;0,000688;0,001376
2061;28,712301;;28,712301;28,712989;0,000688;;0,000688;-9,1E-05;-0,000779
2062;28,712989;;28,712989;28,712989;0;;-9,1E-05;-0,003379;-0,003288
2063;28,712989;;28,712989;28,71308;9,1E-05;;-0,003379;0,00347;0,006849
2064;28,71308;;28,71308;28,71655;0,00347;;0,00347;0;-0,00347
2065;28,71655;;28,71655;28,71655;0;;0;-0,000111;-0,000111
2066;28,71655;;28,71655;28,71655;0;;-0,000111;-0,00305;-0,002939
2067;28,71655;;28,71655;28,716661;0,000111;;-0,00305;0,002624;0,005674
2068;28,716661;;28,716661;28,719822;0,003161;;0,002624;0,000205;-0,002419
2069;28,719822;;28,719822;28,720359;0,000537;;0,000205;0,000252;4,7E-05
2070;28,720359;;28,720359;28,720691;0,000332;;0,000252;-0,018684;-0,018936
2071;28,720691;;28,720691;28,720771;8E-05;;-0,018684;0,018764;0,037448
2072;28,720771;;28,720771;28,739535;0,018764;;0,018764;0;-0,018764
2073;28,739535;;28,739535;28,739535;0;;0;-9,9E-05;-9,9E-05
2074;28,739535;;28,739535;28,739535;0;;-9,9E-05;-0,000394;-0,000295
2075;28,739535;;28,739535;28,739634;9,9E-05;;-0,000394;-0,015662;-0,015268
2076;28,739634;;28,739634;28,740127;0,000493;;-0,015662;0,016155;0,031817
2077;28,740127;;28,740127;28,756282;0,016155;;0,016155;0;-0,016155
2078;28,756282;;28,756282;28,756282;0;;0;-0,000141;-0,000141
2079;28,756282;;28,756282;28,756282;0;;-0,000141;-0,001351;-0,00121
2080;28,756282;;28,756282;28,756423;0,000141;;-0,001351;0,001447;0,002798
2081;28,756423;;28,756423;28,757915;0,001492;;0,001447;-0,024972;-0,026419
2082;28,757915;;28,757915;28,75796;4,5E-05;;-0,024972;0,025017;0,049989
2083;28,75796;;28,75796;28,782977;0,025017;;0,025017;-0,005045;-0,030062
2084;28,782977;;28,782977;28,782977;0;;-0,005045;-1,132148;-1,127103
2085;28,782977;;28,782977;28,788022;0,005045;;-1,132148;1,137106;2,269254
2086;28,788022;;28,788022;29,925215;1,137193;;1,137106;-0,043037;-1,180143
2087;29,925215;;29,925215;29,925302;8,7E-05;;-0,043037;0,043124;0,086161
2088;29,925302;;29,925302;29,968426;0,043124;;0,043124;-0,047743;-0,090867
2089;29,968426;;29,968426;29,968426;0;;-0,047743;0,015658;0,063401
2090;29,968426;;29,968426;30,016169;0,047743;;0,015658;-7,509742;-7,5254
2091;30,016169;;30,016169;30,048254;0,032085;;-7,509742;7,517968;15,02771
2092;30,048254;;30,048254;37,590081;7,541827;;7,517968;0,023679;-7,494289
2155;37,590081;;37,590081;37,61394;0,023859;;0,023679;-0,000675;-0,024354
2164;37,61394;;37,61394;37,61412;0,00018;;-0,000675;0,000855;0,00153
2165;37,61412;;37,61412;37,614975;0,000855;;0,000855;-0,031715;-0,03257
2166;37,614975;;37,614975;37,614975;0;;-0,031715;0,031425;0,06314
2167;37,614975;;37,614975;37,64669;0,031715;;0,031425;-0,000429;-0,031854
2180;37,64669;;37,64669;37,64698;0,00029;;-0,000429;0,000719;0,001148
